dynasty_id,dynasty,reignTitle,monarch,monarchName,beginYear,endYear,label,uri
,,绍汉,,公孙渊,237,238,绍汉,http://data.library.sh.cn/authority/temporal/2lf53wanwotdwo7v
魏,魏,景初,明帝,曹叡,237,239,魏景初,http://data.library.sh.cn/authority/temporal/1vzod8qyrqsvkdnu
吴,吴,赤乌,大帝,孙权,238,251,吴赤乌,http://data.library.sh.cn/authority/temporal/3dksy1e3c41r8aei
蜀,蜀,延熙,后主,刘禅,238,257,蜀延熙,http://data.library.sh.cn/authority/temporal/o7zeyzpeiluw83x5
魏,魏,正始,齐王,曹芳,240,249,魏正始,http://data.library.sh.cn/authority/temporal/u9zfduvzay8dynrq
魏,魏,嘉平,齐王,曹芳,249,254,魏嘉平,http://data.library.sh.cn/authority/temporal/7p1z9zmfivj69ofi
吴,吴,太元,大帝,孙权,251,252,吴太元,http://data.library.sh.cn/authority/temporal/jr9sqm5uxzzeqkxg
吴,吴,神凤,大帝,孙权,252,253,吴神凤,http://data.library.sh.cn/authority/temporal/lyo4cogjz5ugb8z4
吴,吴,建兴,会稽王,孙亮,253,254,吴建兴,http://data.library.sh.cn/authority/temporal/uvt7oja3w43yxp13
魏,魏,正元,高贵乡公,曹髦,254,256,魏正元,http://data.library.sh.cn/authority/temporal/cx2ptalo1uinv96w
吴,吴,五凤,会稽王,孙亮,255,256,吴五凤,http://data.library.sh.cn/authority/temporal/h6c9xfwwy12ogt57
吴,吴,太平,会稽王,孙亮,256,258,吴太平,http://data.library.sh.cn/authority/temporal/mvie799e3o8u9a1t
魏,魏,甘露,高贵乡公,曹髦,256,260,魏甘露,http://data.library.sh.cn/authority/temporal/o1ivfu6yxd7bm6vz
吴,吴,永安,景帝,孙休,258,264,吴永安,http://data.library.sh.cn/authority/temporal/s9eqqybeqe3prn2b
蜀,蜀,景耀,后主,刘禅,258,263,蜀景耀,http://data.library.sh.cn/authority/temporal/3q48vmcp77qxmn8x
魏,魏,景元,元帝,曹奂,260,264,魏景元,http://data.library.sh.cn/authority/temporal/xatay5vxkgcvvgmd
蜀,蜀,炎兴,后主,刘禅,263,263,蜀炎兴,http://data.library.sh.cn/authority/temporal/vdd9pi5aikzzcycb
魏,魏,咸熙,元帝,曹奂,264,265,魏咸熙,http://data.library.sh.cn/authority/temporal/x6c9vvq9dovilqc8
吴,吴,元兴,末帝,孙皓,264,265,吴元兴,http://data.library.sh.cn/authority/temporal/yqtsrzmslys4tgfb
晋,晋,泰始,武帝,司马炎,265,274,晋泰始,http://data.library.sh.cn/authority/temporal/759swioojkr47dgu
吴,吴,甘露,末帝,孙皓,265,266,吴甘露,http://data.library.sh.cn/authority/temporal/sbds3qfwal9rprs7
吴,吴,宝鼎,末帝,孙皓,266,269,吴宝鼎,http://data.library.sh.cn/authority/temporal/loitp8mdyag3nnq1
吴,吴,建衡,末帝,孙皓,269,271,吴建衡,http://data.library.sh.cn/authority/temporal/xtq5p7j67uxk5zl4
吴,吴,凤凰,末帝,孙皓,272,274,吴凤凰,http://data.library.sh.cn/authority/temporal/sxuxkw1tj3z5x2eh
晋,晋,咸宁,武帝,司马炎,275,280,晋咸宁,http://data.library.sh.cn/authority/temporal/7fpfs8yvnbjnpssk
吴,吴,天册,末帝,孙皓,275,276,吴天册,http://data.library.sh.cn/authority/temporal/crwlsawe8lwszhlt
吴,吴,天玺,末帝,孙皓,276,276,吴天玺,http://data.library.sh.cn/authority/temporal/touo8kfomvtxc2ld
吴,吴,天纪,末帝,孙皓,277,280,吴天纪,http://data.library.sh.cn/authority/temporal/4c1bfwv44jpomjai
晋,晋,太康,武帝,司马炎,280,289,晋太康,http://data.library.sh.cn/authority/temporal/dhqeffghxbcfk7it
晋,晋,,,,281,420,晋,http://data.library.sh.cn/authority/temporal/e4q96sxq5sqpcio3
西晋,西晋,,,,281,316,西晋,http://data.library.sh.cn/authority/temporal/xn8xoiqi5tl3kcez
晋,晋,太熙,武帝,司马炎,290,290,晋太熙,http://data.library.sh.cn/authority/temporal/deeaa4z6p9ofqmh9
晋,晋,永熙,惠帝,司马衷,290,290,晋永熙,http://data.library.sh.cn/authority/temporal/6tb99ya9zw7v4f44
晋,晋,元康,惠帝,司马衷,291,299,晋元康,http://data.library.sh.cn/authority/temporal/gvcanqzw4df6vt96
晋,晋,永平,惠帝,司马衷,291,291,晋永平,http://data.library.sh.cn/authority/temporal/882tsrnyqeaqf8kl
,,太平,,赵廞,300,301,太平,http://data.library.sh.cn/authority/temporal/fndeuqjy6s4muptx
晋,晋,永康,惠帝,司马衷,300,301,晋永康,http://data.library.sh.cn/authority/temporal/duhjgiq3oge93xwq
,,建始,,司马伦,301,301,建始,http://data.library.sh.cn/authority/temporal/5hbecpo2dyi1kshz
晋,晋,永宁,惠帝,司马衷,301,302,晋永宁,http://data.library.sh.cn/authority/temporal/cykiu2il6yez449g
晋,晋,太安,惠帝,司马衷,302,303,晋太安,http://data.library.sh.cn/authority/temporal/33x53k6wjjn6wr4a
,,神凤,,刘尼,303,303,神凤,http://data.library.sh.cn/authority/temporal/xx8f4kd2a9c5neto
汉,汉,建初,,李流,303,303,成建初,http://data.library.sh.cn/authority/temporal/9dpkuske13155x1p
汉,汉,建初,,李雄,303,304,成建初,http://data.library.sh.cn/authority/temporal/p3pa7iwz6gu6avjc
汉,汉,建初,,李特,303,303,成建初,http://data.library.sh.cn/authority/temporal/l7nrukl9xheagqqc
汉,汉,元熙,,刘渊,304,308,汉元熙,http://data.library.sh.cn/authority/temporal/nim8jysvqhx76sl2
晋,晋,永安,惠帝,司马衷,304,305,晋永安,http://data.library.sh.cn/authority/temporal/qvax2ffj69wnlesp
汉,汉,建兴,,李雄,304,306,成建兴,http://data.library.sh.cn/authority/temporal/xb2939t9nzb9e88x
