issues,dynasty,reignTitle,monarch,monarchName,begin,end,label,uri
F2:split-span(553~554),梁,承圣,元帝,萧绎,552,555,梁承圣,http://data.library.sh.cn/authority/temporal/n9u3rdpli664wlvt
F2:split-span(552~555),梁,承圣,元帝,萧绎,553,554,梁承圣,http://data.library.sh.cn/authority/temporal/p3djldcondu9rx4b
C:1yr-span,梁,天正,元帝,萧绎,554,554,梁天正,http://data.library.sh.cn/authority/temporal/s48w819s76i1dgqk
C:1yr-span,梁,天成,贞阳侯,萧渊明,555,555,梁天成,http://data.library.sh.cn/authority/temporal/gy8l58cnvon7ipze
C:1yr-span,北周,武成,明帝,宇文毓,560,560,北周武成,http://data.library.sh.cn/authority/temporal/lzonxl4bklv55ntc
C:1yr-span,北齐,乾明,废帝,高殷,560,560,北齐乾明,http://data.library.sh.cn/authority/temporal/98mi65qdzg8j7btc
F2:split-span(589~601),高昌,延昌,,麴乾固,561,589,高昌延昌,http://data.library.sh.cn/authority/temporal/dbvlcnjnf2w148ip
C:1yr-span,陈,天康,文帝,陈蒨,566,566,陈天康,http://data.library.sh.cn/authority/temporal/ij81rtjs3lzbtt6y
E:missing-year,北齐,承光,幼主,高恒,577,,北齐承光,http://data.library.sh.cn/authority/temporal/glvpbcmcui3yfien
C:1yr-span,北周,宣政,宣帝,宇文赟,578,578,北周宣政,http://data.library.sh.cn/authority/temporal/28m71xdsg6t142m1
C:1yr-span,北周,大定,静帝,宇文阐,581,581,北周大定,http://data.library.sh.cn/authority/temporal/ipxw3qiit3ml6vsv
F2:split-span(589~600),隋,开皇,文帝,杨坚,582,589,隋开皇,http://data.library.sh.cn/authority/temporal/ylyobpybbk442ev6
F2:split-span(582~589),隋,开皇,文帝,杨坚,589,600,隋开皇,http://data.library.sh.cn/authority/temporal/1p4t1rtattpetdfn
F2:split-span(561~589),高昌,延昌,,麴乾固,589,601,高昌延昌,http://data.library.sh.cn/authority/temporal/i4gzq1997nn8nufc
C:1yr-span,,白乌,,向海明,613,613,白乌,http://data.library.sh.cn/authority/temporal/w1k2rltayvdkfahm
C:1yr-span,,大世,,刘迦论,614,614,大世,http://data.library.sh.cn/authority/temporal/gudsekjgaoqgxb9b
F2:split-span(618~619),高昌,义和,,麴□,614,618,高昌义和,http://data.library.sh.cn/authority/temporal/bf218vii1c6fj4aq
F2:split-span(618~619),,昌达,,朱粲,615,618,昌达,http://data.library.sh.cn/authority/temporal/5nsz6pu5numz1ls5
C:1yr-span,,始兴,,操师乞,616,616,始兴,http://data.library.sh.cn/authority/temporal/bg92fp1r8ceu2ncl
F2:split-span(618~620),,天兴,,刘武周,617,618,天兴,http://data.library.sh.cn/authority/temporal/fc1bpe6kp4ip63wl
F2:split-span(618~622),楚,太平,,林士弘,616,618,楚太平,http://data.library.sh.cn/authority/temporal/m9mfgfyvjwjpnshj
B:ancient-name-AD,夏,丁丑,,窦建德,617,618,夏丁丑,http://data.library.sh.cn/authority/temporal/hm6tq9vl6nx7pa4l
F2:split-span(618~621),梁,鸣凤,,萧铣,617,618,梁鸣凤,http://data.library.sh.cn/authority/temporal/jl1qvvfjrkb4igqb
F2:split-span(618~628),梁,永隆,,梁师都,617,618,梁永隆,http://data.library.sh.cn/authority/temporal/morqizkjdraq42gk
F2:split-span(617~618),,天兴,,刘武周,618,620,天兴,http://data.library.sh.cn/authority/temporal/3rg33wlc5dsm9qa3
F2:split-span(615~618),,昌达,,朱粲,618,619,昌达,http://data.library.sh.cn/authority/temporal/qyautsp4racb8ls1
C:1yr-span;F1:trunc-dup(618~623),,安乐,,李轨,618,618,安乐,http://data.library.sh.cn/authority/temporal/ekjzfp7wkcv8lfxb
F2:split-span(618~618),,安乐,,李轨,618,623,安乐,http://data.library.sh.cn/authority/temporal/gixwquy55qpdd4r9
C:1yr-span,隋,义宁,恭帝,杨侑,618,618,隋义宁,http://data.library.sh.cn/authority/temporal/wq4sz9wjoq5f5kb5
F2:split-span(617~618),梁,鸣凤,,萧铣,618,621,梁鸣凤,http://data.library.sh.cn/authority/temporal/sqakp2qhv4j2ul7g
B:ancient-name-AD;F2:split-span(618~618),夏,五凤,,窦建德,618,621,夏五凤,http://data.library.sh.cn/authority/temporal/fk9omvu42cf2rlao
F2:split-span(616~618),楚,太平,,林士弘,618,622,楚太平,http://data.library.sh.cn/authority/temporal/1dwijyeoweiftq8w
C:1yr-span;F1:trunc-dup(618~619),隋,皇泰,越王,杨侗,618,618,隋皇泰,http://data.library.sh.cn/authority/temporal/jp1o55m8a6jepgiz
F2:split-span(618~618),隋,皇泰,越王,杨侗,618,619,隋皇泰,http://data.library.sh.cn/authority/temporal/lh2dpz8t7h9lg47r
F2:split-span(617~618),梁,永隆,,梁师都,618,628,梁永隆,http://data.library.sh.cn/authority/temporal/y1lyqeazxb9or8mj
F2:split-span(614~618),高昌,义和,,麴□,618,619,高昌义和,http://data.library.sh.cn/authority/temporal/kv77na29tocjf8pb
B:ancient-name-AD,夏,天造,,刘黑闼,622,623,夏天造,http://data.library.sh.cn/authority/temporal/o21xjey9i9onrsyf
C:1yr-span,唐,弘道,中宗,李显,683,683,唐弘道,http://data.library.sh.cn/authority/temporal/4jnzledbjybf7687
C:1yr-span,唐,文明,睿宗,李旦,684,684,唐文明,http://data.library.sh.cn/authority/temporal/foqmhtas34c6csew
C:1yr-span,唐,光宅,,武则天,685,685,唐光宅,http://data.library.sh.cn/authority/temporal/t685mlpix24mt1iy
C:1yr-span,唐,嗣圣,中宗,李显,684,684,唐嗣圣,http://data.library.sh.cn/authority/temporal/6nyfg4hekqcrgg5s
C:1yr-span,唐,永昌,,武则天,689,689,唐永昌,http://data.library.sh.cn/authority/temporal/5afe2ax3pepg7beu
C:1yr-span,唐,万岁通天,,武则天,696,696,唐万岁通天,http://data.library.sh.cn/authority/temporal/ghje3tv3yetnljdq
C:1yr-span,唐,神功,,武则天,697,697,唐神功,http://data.library.sh.cn/authority/temporal/yvywgmch95712tg3
C:1yr-span,隋,克复,宗,李重福,710,710,隋克复,http://data.library.sh.cn/authority/temporal/n8fuvld8vq69vrsq
C:1yr-span,唐,唐隆,少帝,李重茂,710,710,唐唐隆,http://data.library.sh.cn/authority/temporal/f7z3xiljwyelh2dy
C:1yr-span,唐,先天,玄宗,李隆基,714,714,唐先天,http://data.library.sh.cn/authority/temporal/5nyr6anqrz1zld77
F2:split-span(752~768),南诏,阁逻凤,,NON,746,751,南诏阁逻凤,http://data.library.sh.cn/authority/temporal/yexkmubqdqmoigrx
F2:split-span(746~751),南诏,阁逻凤,,NON,752,768,南诏赞普锺,http://data.library.sh.cn/authority/temporal/hptc7bde439lnd44
C:1yr-span,燕,圣武,,安禄山,756,756,燕圣武,http://data.library.sh.cn/authority/temporal/wdf7d3glijo3gm6y
C:1yr-span,燕,应天,,史思明,760,760,燕应天,http://data.library.sh.cn/authority/temporal/otz23cwyrccer316
C:1yr-span,,黄龙,,段子璋,761,761,黄龙,http://data.library.sh.cn/authority/temporal/4woticeappxni1fo
C:1yr-span,,天皇,,朱泚,784,784,天皇,http://data.library.sh.cn/authority/temporal/i16htr91e9vb76pj
E:missing-year,南诏,上元,,NON,784,,南诏上元,http://data.library.sh.cn/authority/temporal/4eljzv3hcnl3l1uv
C:1yr-span,唐,兴元,德宗,李适,784,784,唐兴元,http://data.library.sh.cn/authority/temporal/pxd1bb9nsg8f6ujz
C:1yr-span,元封,元封,,寻阁劝,806,806,元封元封,http://data.library.sh.cn/authority/temporal/xfc48hw5mt38ab23
